recorded_at,temperature_c,humidity_rh,nh3_ppm,temp_status,humid_status,amonia_status,overall_status,is_anomaly,source
2025-10-07T18:30:00Z,26.07,89.2,3.11,1,1,0,bagus,0,synthetic
2025-11-24T04:44:27Z,31.89,73.65,0.17,2,0,0,buruk,0,real
2025-10-01T22:04:00Z,26.23,78.47,9.37,1,1,0,bagus,0,synthetic
2025-10-16T11:07:00Z,33.78,83.31,13.88,2,1,0,sedang,0,synthetic
2025-10-05T05:52:00Z,28.8,89.83,5.82,1,1,0,bagus,0,synthetic
2025-10-07T07:26:00Z,27.1,87.94,6.4,1,1,0,bagus,0,synthetic
2025-10-17T22:56:00Z,31.93,91.39,13.39,2,2,0,buruk,0,synthetic
2025-11-23T16:23:11Z,31.85,73.2,0.23,2,0,0,buruk,0,real
2025-10-06T08:01:00Z,27.97,80.04,14.82,1,1,0,bagus,0,synthetic
2025-11-25T18:28:13Z,32.33,72.53,0.18,2,0,0,buruk,0,real
2025-10-16T05:21:00Z,31.27,89.84,4.78,2,1,0,sedang,0,synthetic
2025-10-18T13:21:00Z,22.8,85.15,8.62,0,1,0,sedang,0,synthetic
2025-10-18T04:00:00Z,24.24,79.67,13.99,0,1,0,sedang,0,synthetic
2025-10-21T04:10:00Z,26.19,70.63,0.91,1,0,0,sedang,0,synthetic
2025-11-24T02:18:23Z,31.82,73.49,0.18,2,0,0,buruk,0,real
2025-10-20T02:10:00Z,27.81,90.85,7.95,1,2,0,sedang,0,synthetic
2025-11-25T03:35:54Z,32.09,72.53,0.17,2,0,0,buruk,0,real
2025-10-19T09:50:00Z,25.35,83.57,8.79,0,1,0,sedang,0,synthetic
2025-11-29T11:10:04Z,33.0,69.85,0.17,2,0,0,buruk,0,real
2025-11-30T00:07:20Z,32.9,70.05,0.18,2,0,0,buruk,0,real
2025-10-04T23:36:00Z,26.19,80.79,4.37,1,1,0,bagus,0,synthetic
2025-11-30T06:13:28Z,33.05,68.89,0.17,2,0,0,buruk,0,real
2025-10-06T07:33:00Z,27.12,76.54,11.73,1,1,0,bagus,0,synthetic
2025-10-20T10:57:00Z,31.21,87.01,5.93,2,1,0,sedang,0,synthetic
2025-10-18T12:48:00Z,24.57,90.81,5.09,0,2,0,buruk,0,synthetic
2025-10-04T16:17:00Z,29.55,88.19,7.76,1,1,0,bagus,0,synthetic
2025-10-07T09:42:00Z,28.14,89.3,1.14,1,1,0,bagus,0,synthetic
2025-10-04T23:39:00Z,26.09,80.3,5.66,1,1,0,bagus,0,synthetic
2025-10-16T05:14:00Z,27.33,70.78,10.42,1,0,0,sedang,0,synthetic
2025-10-01T21:56:00Z,26.7,75.73,4.62,1,1,0,bagus,0,synthetic
2025-11-27T05:52:57Z,32.85,69.69,0.17,2,0,0,buruk,0,real
2025-10-16T16:29:00Z,28.05,94.1,0.55,1,2,0,sedang,0,synthetic
2025-11-24T04:14:26Z,31.88,73.7,0.22,2,0,0,buruk,0,real
2025-10-18T04:38:00Z,30.52,71.39,3.7,2,0,0,buruk,0,synthetic
2025-11-24T03:15:25Z,31.88,73.23,0.17,2,0,0,buruk,0,real
2025-10-05T12:36:00Z,27.58,79.86,6.26,1,1,0,bagus,0,synthetic
2025-10-01T23:53:00Z,26.25,87.29,12.23,1,1,0,bagus,0,synthetic
2025-10-05T06:36:00Z,28.84,76.04,6.6,1,1,0,bagus,0,synthetic
2025-11-25T02:21:52Z,32.16,72.97,0.21,2,0,0,buruk,0,real
2025-10-20T22:46:00Z,28.28,67.29,11.84,1,0,0,sedang,0,synthetic
2025-10-02T12:05:00Z,28.26,86.54,2.68,1,1,0,bagus,0,synthetic
2025-10-21T08:59:00Z,28.84,93.17,6.17,1,2,0,sedang,0,synthetic
2025-10-18T10:54:00Z,30.93,73.0,12.14,2,0,0,buruk,0,synthetic
2025-10-18T02:22:00Z,31.31,91.9,9.49,2,2,0,buruk,0,synthetic
2025-10-20T17:53:00Z,26.06,60.5,0.84,1,0,0,sedang,0,synthetic
2025-10-07T11:04:00Z,26.09,77.08,3.02,1,1,0,bagus,0,synthetic
2025-10-20T19:45:00Z,29.39,90.97,8.05,1,2,0,sedang,0,synthetic
2025-11-25T14:26:08Z,32.4,72.15,0.18,2,0,0,buruk,0,real
2025-10-21T04:22:00Z,26.3,91.24,4.79,1,2,0,sedang,0,synthetic
2025-10-21T01:14:00Z,26.09,93.62,14.78,1,2,0,sedang,0,synthetic
2025-11-26T09:10:31Z,32.58,69.63,0.17,2,0,0,buruk,0,real
2025-10-01T20:48:00Z,29.42,83.87,11.11,1,1,0,bagus,0,synthetic
2025-11-29T14:18:08Z,32.86,69.54,0.21,2,0,0,buruk,0,real
2025-10-06T19:39:00Z,27.84,85.42,2.86,1,1,0,bagus,0,synthetic
2025-11-26T13:05:36Z,32.78,71.49,0.18,2,0,0,buruk,0,real
2025-10-03T14:01:00Z,29.37,75.75,2.88,1,1,0,bagus,0,synthetic
2025-10-16T05:10:00Z,26.87,90.66,9.95,1,2,0,sedang,0,synthetic
2025-10-01T01:21:00Z,27.35,88.68,5.98,1,1,0,bagus,0,synthetic
2025-10-02T23:29:00Z,29.62,81.29,1.31,1,1,0,bagus,0,synthetic
2025-10-04T02:53:00Z,27.32,76.3,14.61,1,1,0,bagus,0,synthetic
2025-10-05T01:01:00Z,27.44,81.57,11.42,1,1,0,bagus,0,synthetic
2025-10-05T04:31:00Z,28.2,82.17,5.93,1,1,0,bagus,0,synthetic
2025-11-27T04:29:55Z,32.79,70.65,0.17,2,0,0,buruk,0,real
2025-11-28T00:46:21Z,32.59,69.59,0.21,2,0,0,buruk,0,real
2025-10-04T15:45:00Z,26.85,85.85,1.99,1,1,0,bagus,0,synthetic
2025-10-05T19:38:00Z,29.18,86.76,12.01,1,1,0,bagus,0,synthetic
2025-10-01T02:31:00Z,28.97,87.82,0.58,1,1,0,bagus,0,synthetic
2025-11-25T08:40:00Z,32.22,70.38,0.17,2,0,0,buruk,0,real
2025-10-18T04:19:00Z,26.7,91.48,8.4,1,2,0,sedang,0,synthetic
2025-11-30T08:33:31Z,33.24,67.64,0.17,2,0,0,buruk,0,real
2025-11-29T14:29:08Z,32.87,69.03,0.17,2,0,0,buruk,0,real
2025-10-16T15:56:00Z,26.26,70.14,8.63,1,0,0,sedang,0,synthetic
2025-11-27T12:04:05Z,32.82,70.18,0.27,2,0,0,buruk,0,real
2025-10-06T14:33:00Z,26.11,83.79,12.52,1,1,0,bagus,0,synthetic
2025-10-15T06:10:00Z,27.36,68.53,10.1,1,0,0,sedang,0,synthetic
2025-10-16T16:34:00Z,27.53,94.18,9.96,1,2,0,sedang,0,synthetic
2025-10-18T00:43:00Z,23.3,88.92,1.14,0,1,0,sedang,0,synthetic
2025-11-30T00:26:21Z,32.9,70.18,0.17,2,0,0,buruk,0,real
2025-10-01T03:06:00Z,28.46,82.57,3.55,1,1,0,bagus,0,synthetic
2025-11-26T21:15:46Z,32.5,69.88,0.17,2,0,0,buruk,0,real
2025-11-27T04:51:56Z,32.81,70.8,0.17,2,0,0,buruk,0,real
2025-10-01T06:37:00Z,29.77,78.6,2.28,1,1,0,bagus,0,synthetic
2025-10-17T04:35:00Z,24.69,77.21,2.18,0,1,0,sedang,0,synthetic
2025-11-30T05:55:27Z,33.05,68.88,0.17,2,0,0,buruk,0,real
2025-11-29T20:14:15Z,32.82,69.87,0.17,2,0,0,buruk,0,real
2025-10-19T12:58:00Z,27.65,90.98,7.97,1,2,0,sedang,0,synthetic
2025-11-25T23:48:19Z,32.28,71.51,0.17,2,0,0,buruk,0,real
2025-10-20T02:59:00Z,31.98,91.41,5.63,2,2,0,buruk,0,synthetic
2025-10-19T10:05:00Z,22.15,77.09,13.73,0,1,0,sedang,0,synthetic
2025-10-21T16:43:00Z,31.89,92.82,11.61,2,2,0,buruk,0,synthetic
2025-10-16T21:42:00Z,30.71,71.62,6.52,2,0,0,buruk,0,synthetic
2025-10-18T14:27:00Z,24.76,74.48,12.77,0,0,0,buruk,0,synthetic
2025-10-06T11:00:00Z,28.82,87.94,14.02,1,1,0,bagus,0,synthetic
2025-10-06T11:03:00Z,29.93,83.8,9.82,1,1,0,bagus,0,synthetic
2025-11-28T13:35:37Z,32.95,70.86,0.22,2,0,0,buruk,0,real
2025-10-19T23:49:00Z,24.53,92.81,5.86,0,2,0,buruk,0,synthetic
2025-10-21T04:31:00Z,27.34,93.19,6.01,1,2,0,sedang,0,synthetic
2025-10-21T08:50:00Z,29.73,61.4,11.12,1,0,0,sedang,0,synthetic
2025-10-01T18:21:00Z,26.04,77.61,13.27,1,1,0,bagus,0,synthetic
2025-10-21T18:45:00Z,28.1,73.06,8.73,1,0,0,sedang,0,synthetic
2025-10-18T19:55:00Z,29.2,90.74,14.46,1,2,0,sedang,0,synthetic
2025-10-18T08:38:00Z,25.64,82.25,3.6,0,1,0,sedang,0,synthetic
2025-11-25T11:32:04Z,32.37,71.65,0.17,2,0,0,buruk,0,real
2025-10-16T08:58:00Z,22.33,83.11,1.64,0,1,0,sedang,0,synthetic
2025-10-16T10:39:00Z,30.5,90.14,3.01,2,2,0,buruk,0,synthetic
2025-11-23T19:51:15Z,31.82,72.97,0.25,2,0,0,buruk,0,real
2025-10-19T10:20:00Z,33.75,77.23,0.56,2,1,0,sedang,0,synthetic
2025-10-06T20:01:00Z,28.88,83.2,7.99,1,1,0,bagus,0,synthetic
2025-10-04T06:01:00Z,27.17,86.16,12.46,1,1,0,bagus,0,synthetic
2025-11-25T03:49:54Z,32.09,72.55,0.17,2,0,0,buruk,0,real
2025-11-28T15:34:39Z,32.98,71.06,0.19,2,0,0,buruk,0,real
2025-10-19T01:00:00Z,25.13,91.4,11.99,0,2,0,buruk,0,synthetic
2025-10-20T20:54:00Z,32.88,81.51,12.66,2,1,0,sedang,0,synthetic
2025-10-17T14:39:00Z,29.54,69.41,8.31,1,0,0,sedang,0,synthetic
2025-10-18T12:49:00Z,32.1,85.21,14.08,2,1,0,sedang,0,synthetic
2025-10-07T12:44:00Z,28.63,81.55,5.64,1,1,0,bagus,0,synthetic
2025-10-04T15:37:00Z,29.26,89.7,4.25,1,1,0,bagus,0,synthetic
2025-11-25T10:44:03Z,32.33,71.26,0.2,2,0,0,buruk,0,real
2025-10-06T19:43:00Z,26.75,86.64,4.87,1,1,0,bagus,0,synthetic
2025-10-18T16:42:00Z,27.7,90.56,9.33,1,2,0,sedang,0,synthetic
2025-10-03T12:53:00Z,29.77,79.78,5.93,1,1,0,bagus,0,synthetic
2025-11-24T20:23:45Z,32.03,71.61,0.17,2,0,0,buruk,0,real
2025-11-28T04:29:25Z,32.76,70.67,0.17,2,0,0,buruk,0,real
2025-10-15T04:52:00Z,28.57,93.36,10.08,1,2,0,sedang,0,synthetic
2025-10-16T22:54:00Z,28.43,93.25,2.52,1,2,0,sedang,0,synthetic
2025-10-16T01:38:00Z,24.4,92.72,7.8,0,2,0,buruk,0,synthetic
2025-10-05T03:52:00Z,26.19,78.44,8.35,1,1,0,bagus,0,synthetic
2025-10-20T03:37:00Z,25.79,87.22,14.19,0,1,0,sedang,0,synthetic
2025-10-03T03:56:00Z,26.29,75.21,13.75,1,1,0,bagus,0,synthetic
2025-10-16T03:51:00Z,27.55,71.8,8.99,1,0,0,sedang,0,synthetic
2025-11-28T10:50:33Z,32.85,70.19,0.17,2,0,0,buruk,0,real
2025-11-24T03:33:25Z,31.84,73.89,0.17,2,0,0,buruk,0,real
2025-10-19T19:31:00Z,31.83,74.52,0.82,2,0,0,buruk,0,synthetic
2025-10-20T05:18:00Z,27.66,62.8,8.44,1,0,0,sedang,0,synthetic
2025-10-02T23:13:00Z,26.31,77.38,4.8,1,1,0,bagus,0,synthetic
2025-10-15T07:25:00Z,25.49,73.37,8.61,0,0,0,buruk,0,synthetic
2025-11-24T09:14:31Z,31.61,73.31,0.17,2,0,0,buruk,0,real
2025-10-20T11:53:00Z,24.95,90.94,13.17,0,2,0,buruk,0,synthetic
2025-10-19T19:44:00Z,24.23,90.77,10.43,0,2,0,buruk,0,synthetic
2025-10-20T11:51:00Z,31.27,90.95,12.47,2,2,0,buruk,0,synthetic
2025-11-26T14:58:38Z,32.75,71.76,0.17,2,0,0,buruk,0,real
2025-11-23T19:55:15Z,31.74,72.91,0.17,2,0,0,buruk,0,real
2025-11-28T11:26:34Z,32.9,70.3,0.17,2,0,0,buruk,0,real
2025-11-30T09:07:32Z,33.23,68.33,0.17,2,0,0,buruk,0,real
2025-11-28T03:40:24Z,32.75,70.39,0.17,2,0,0,buruk,0,real
2025-10-20T09:44:00Z,22.12,87.18,8.83,0,1,0,sedang,0,synthetic
2025-10-17T22:53:00Z,26.2,74.83,6.93,1,0,0,sedang,0,synthetic
2025-10-01T14:33:00Z,27.04,85.98,1.08,1,1,0,bagus,0,synthetic
2025-10-19T11:01:00Z,32.76,76.87,2.92,2,1,0,sedang,0,synthetic
2025-11-23T18:58:14Z,31.81,73.08,0.17,2,0,0,buruk,0,real
2025-10-04T16:58:00Z,26.61,77.79,11.97,1,1,0,bagus,0,synthetic
2025-11-24T10:52:33Z,32.02,72.49,0.17,2,0,0,buruk,0,real
2025-10-01T01:02:00Z,28.83,79.45,7.94,1,1,0,bagus,0,synthetic
2025-10-04T00:31:00Z,26.12,78.84,12.44,1,1,0,bagus,0,synthetic
2025-11-24T15:19:38Z,32.08,72.24,0.17,2,0,0,buruk,0,real
2025-10-17T15:15:00Z,24.81,72.69,0.84,0,0,0,buruk,0,synthetic
2025-11-29T09:42:02Z,33.03,68.7,0.17,2,0,0,buruk,0,real
2025-10-02T16:21:00Z,28.5,75.2,8.27,1,1,0,bagus,0,synthetic
2025-10-04T16:15:00Z,28.75,87.58,9.03,1,1,0,bagus,0,synthetic
2025-10-06T05:30:00Z,28.02,76.13,9.66,1,1,0,bagus,0,synthetic
2025-11-24T00:37:21Z,31.75,73.36,0.17,2,0,0,buruk,0,real
2025-10-21T13:50:00Z,31.32,84.47,5.47,2,1,0,sedang,0,synthetic
2025-11-27T08:53:01Z,32.76,70.21,0.17,2,0,0,buruk,0,real
2025-11-25T05:23:56Z,32.13,71.5,0.17,2,0,0,buruk,0,real
2025-10-03T18:30:00Z,29.1,77.59,10.1,1,1,0,bagus,0,synthetic
2025-11-29T01:50:52Z,32.83,69.3,0.18,2,0,0,buruk,0,real
2025-10-15T18:18:00Z,29.26,65.73,2.0,1,0,0,sedang,0,synthetic
2025-11-30T07:41:30Z,33.21,67.87,0.17,2,0,0,buruk,0,real
2025-10-07T03:36:00Z,28.89,86.92,14.01,1,1,0,bagus,0,synthetic
2025-10-18T17:38:00Z,33.41,89.38,5.08,2,1,0,sedang,0,synthetic
2025-11-24T10:02:32Z,31.99,71.91,0.17,2,0,0,buruk,0,real
2025-11-29T06:40:58Z,32.9,69.06,0.17,2,0,0,buruk,0,real
2025-10-07T19:44:00Z,27.87,89.92,0.82,1,1,0,bagus,0,synthetic
2025-10-02T07:49:00Z,27.41,78.05,4.36,1,1,0,bagus,0,synthetic
2025-11-29T07:43:00Z,33.05,68.08,0.17,2,0,0,buruk,0,real
2025-10-18T10:30:00Z,31.41,90.42,0.52,2,2,0,buruk,0,synthetic
2025-10-15T17:59:00Z,26.91,63.71,0.48,1,0,0,sedang,0,synthetic
2025-10-16T21:45:00Z,26.79,92.55,13.79,1,2,0,sedang,0,synthetic
2025-10-04T22:56:00Z,26.8,82.65,8.82,1,1,0,bagus,0,synthetic
2025-10-03T14:24:00Z,29.69,85.83,0.29,1,1,0,bagus,0,synthetic
2025-11-30T08:04:30Z,33.23,67.65,0.17,2,0,0,buruk,0,real
2025-10-19T15:32:00Z,24.95,83.84,12.05,0,1,0,sedang,0,synthetic
2025-10-16T21:12:00Z,24.82,73.55,12.44,0,0,0,buruk,0,synthetic
2025-10-17T09:04:00Z,27.2,72.93,8.34,1,0,0,sedang,0,synthetic
2025-11-23T15:14:10Z,31.91,73.22,0.17,2,0,0,buruk,0,real
2025-10-20T02:16:00Z,30.66,71.05,0.95,2,0,0,buruk,0,synthetic
2025-11-26T02:21:22Z,32.4,71.68,0.17,2,0,0,buruk,0,real
2025-10-17T10:13:00Z,25.4,81.85,1.09,0,1,0,sedang,0,synthetic
2025-10-02T18:45:00Z,29.64,88.32,8.53,1,1,0,bagus,0,synthetic
2025-11-28T00:00:20Z,32.59,69.93,0.17,2,0,0,buruk,0,real
2025-11-25T10:49:03Z,32.28,71.35,0.17,2,0,0,buruk,0,real
2025-10-03T12:59:00Z,28.15,85.9,2.33,1,1,0,bagus,0,synthetic
2025-10-19T08:01:00Z,30.0,69.67,8.45,1,0,0,sedang,0,synthetic
2025-10-02T05:27:00Z,29.89,79.32,3.08,1,1,0,bagus,0,synthetic
2025-10-01T11:38:00Z,28.27,79.55,11.85,1,1,0,bagus,0,synthetic
2025-10-01T04:10:00Z,28.04,82.59,7.85,1,1,0,bagus,0,synthetic
2025-11-27T21:07:16Z,32.65,69.83,0.17,2,0,0,buruk,0,real
2025-10-18T05:17:00Z,26.93,69.73,14.16,1,0,0,sedang,0,synthetic
2025-10-01T07:38:00Z,26.71,82.37,2.66,1,1,0,bagus,0,synthetic
2025-10-20T18:26:00Z,29.46,90.18,3.63,1,2,0,sedang,0,synthetic
2025-10-07T15:53:00Z,29.15,85.97,7.84,1,1,0,bagus,0,synthetic
2025-10-04T03:36:00Z,26.61,84.89,14.59,1,1,0,bagus,0,synthetic
2025-10-07T02:49:00Z,28.66,85.72,4.33,1,1,0,bagus,0,synthetic
2025-11-26T21:03:46Z,32.55,69.77,0.17,2,0,0,buruk,0,real
2025-11-24T22:18:47Z,32.0,71.75,0.17,2,0,0,buruk,0,real
2025-10-03T20:03:00Z,26.14,81.58,4.02,1,1,0,bagus,0,synthetic
2025-10-18T15:03:00Z,26.55,63.72,8.42,1,0,0,sedang,0,synthetic
2025-10-20T00:40:00Z,25.06,91.31,3.95,0,2,0,buruk,0,synthetic
2025-10-07T23:12:00Z,28.86,79.13,10.21,1,1,0,bagus,0,synthetic
2025-10-05T12:49:00Z,26.53,81.71,5.74,1,1,0,bagus,0,synthetic
2025-10-07T20:03:00Z,29.63,83.08,2.93,1,1,0,bagus,0,synthetic
2025-10-15T02:26:00Z,28.19,94.47,13.32,1,2,0,sedang,0,synthetic
2025-10-01T17:04:00Z,29.06,86.51,4.38,1,1,0,bagus,0,synthetic
2025-10-03T11:26:00Z,27.83,86.76,1.64,1,1,0,bagus,0,synthetic
2025-11-24T02:05:23Z,31.84,73.24,0.17,2,0,0,buruk,0,real
2025-10-21T15:49:00Z,23.2,84.91,7.51,0,1,0,sedang,0,synthetic
2025-11-24T07:16:30Z,31.91,71.65,0.17,2,0,0,buruk,0,real
2025-10-20T23:52:00Z,29.87,90.34,13.02,1,2,0,sedang,0,synthetic
2025-11-27T08:57:01Z,32.85,70.23,0.23,2,0,0,buruk,0,real
2025-11-23T14:47:09Z,31.88,73.13,0.19,2,0,0,buruk,0,real
2025-10-07T17:17:00Z,26.75,83.3,9.37,1,1,0,bagus,0,synthetic
2025-10-07T19:32:00Z,26.91,77.01,14.08,1,1,0,bagus,0,synthetic
2025-10-06T05:40:00Z,26.19,78.73,10.34,1,1,0,bagus,0,synthetic
2025-10-20T01:14:00Z,28.18,93.54,2.66,1,2,0,sedang,0,synthetic
2025-10-01T23:20:00Z,26.57,79.4,7.82,1,1,0,bagus,0,synthetic
2025-11-24T13:49:37Z,32.0,72.7,0.18,2,0,0,buruk,0,real
2025-11-27T17:39:12Z,32.74,70.83,0.17,2,0,0,buruk,0,real
2025-10-02T16:37:00Z,28.74,87.74,7.21,1,1,0,bagus,0,synthetic
2025-11-30T01:43:22Z,32.93,70.27,0.17,2,0,0,buruk,0,real
2025-11-29T10:07:03Z,33.05,68.85,0.17,2,0,0,buruk,0,real
2025-10-03T10:07:00Z,29.92,76.7,4.02,1,1,0,bagus,0,synthetic
2025-10-21T00:27:00Z,31.79,90.2,1.6,2,2,0,buruk,0,synthetic
2025-10-18T13:14:00Z,33.21,75.29,9.31,2,1,0,sedang,0,synthetic
2025-10-04T21:34:00Z,27.46,76.83,11.99,1,1,0,bagus,0,synthetic
2025-11-26T18:35:43Z,32.75,70.36,0.17,2,0,0,buruk,0,real
2025-10-19T15:10:00Z,27.75,90.47,7.28,1,2,0,sedang,0,synthetic
2025-10-18T06:51:00Z,30.41,70.81,0.28,2,0,0,buruk,0,synthetic
2025-10-19T14:52:00Z,24.92,74.09,9.66,0,0,0,buruk,0,synthetic
2025-10-19T03:33:00Z,27.81,60.21,0.26,1,0,0,sedang,0,synthetic
2025-10-15T14:05:00Z,27.26,68.19,6.53,1,0,0,sedang,0,synthetic
2025-11-29T20:34:16Z,32.81,70.03,0.17,2,0,0,buruk,0,real
2025-10-15T14:53:00Z,32.1,80.75,13.52,2,1,0,sedang,0,synthetic
2025-10-02T11:02:00Z,28.81,84.2,14.45,1,1,0,bagus,0,synthetic
2025-11-29T11:14:04Z,33.07,69.67,0.18,2,0,0,buruk,0,real
2025-10-18T03:38:00Z,28.04,93.01,14.87,1,2,0,sedang,0,synthetic
2025-10-17T10:34:00Z,24.86,71.39,6.88,0,0,0,buruk,0,synthetic
2025-11-24T14:59:38Z,31.98,72.03,0.18,2,0,0,buruk,0,real
2025-11-29T11:42:05Z,33.12,70.12,0.19,2,0,0,buruk,0,real
2025-11-28T00:59:21Z,32.62,69.55,0.17,2,0,0,buruk,0,real
2025-11-29T05:38:57Z,32.89,70.01,0.17,2,0,0,buruk,0,real
2025-10-21T21:10:00Z,22.55,83.72,14.97,0,1,0,sedang,0,synthetic
2025-10-02T17:17:00Z,27.53,86.08,6.41,1,1,0,bagus,0,synthetic
2025-10-15T22:05:00Z,31.25,84.38,1.94,2,1,0,sedang,0,synthetic
2025-10-01T01:37:00Z,28.34,80.13,14.88,1,1,0,bagus,0,synthetic
2025-10-05T15:57:00Z,29.2,82.47,6.96,1,1,0,bagus,0,synthetic
2025-11-27T01:32:52Z,32.65,70.01,0.17,2,0,0,buruk,0,real
2025-11-23T23:44:20Z,31.61,73.33,0.17,2,0,0,buruk,0,real
2025-10-15T06:06:00Z,24.39,70.3,1.36,0,0,0,buruk,0,synthetic
2025-11-28T23:34:49Z,32.71,68.74,0.27,2,0,0,buruk,0,real
2025-10-07T19:02:00Z,28.63,79.36,13.21,1,1,0,bagus,0,synthetic
2025-10-05T20:35:00Z,27.56,75.11,2.45,1,1,0,bagus,0,synthetic
2025-11-28T00:22:20Z,32.55,69.97,0.17,2,0,0,buruk,0,real
2025-10-04T04:03:00Z,29.79,76.84,7.14,1,1,0,bagus,0,synthetic
2025-10-20T03:53:00Z,32.55,82.29,3.32,2,1,0,sedang,0,synthetic
2025-11-27T15:52:10Z,32.76,70.86,0.17,2,0,0,buruk,0,real
2025-10-01T23:18:00Z,27.77,89.04,0.16,1,1,0,bagus,0,synthetic
2025-11-29T21:06:16Z,32.78,70.09,0.17,2,0,0,buruk,0,real
2025-10-21T11:32:00Z,31.62,92.49,14.9,2,2,0,buruk,0,synthetic
2025-10-16T16:07:00Z,31.73,80.78,3.43,2,1,0,sedang,0,synthetic
2025-11-28T07:09:29Z,32.78,70.76,0.17,2,0,0,buruk,0,real
2025-11-25T16:00:09Z,32.45,72.42,0.17,2,0,0,buruk,0,real
2025-10-21T09:45:00Z,26.4,74.09,1.56,1,0,0,sedang,0,synthetic
2025-11-29T17:41:12Z,32.93,69.48,0.17,2,0,0,buruk,0,real
2025-11-29T03:06:54Z,32.89,70.06,0.21,2,0,0,buruk,0,real
2025-10-17T13:19:00Z,26.01,63.59,3.45,1,0,0,sedang,0,synthetic
2025-11-28T04:05:25Z,32.75,70.53,0.17,2,0,0,buruk,0,real
2025-10-15T13:39:00Z,27.98,93.0,8.33,1,2,0,sedang,0,synthetic
2025-11-29T10:30:03Z,33.03,69.55,0.17,2,0,0,buruk,0,real
2025-10-16T06:53:00Z,30.94,82.5,9.01,2,1,0,sedang,0,synthetic
2025-11-25T03:05:53Z,32.11,72.6,0.17,2,0,0,buruk,0,real
2025-10-17T17:10:00Z,23.18,83.77,14.44,0,1,0,sedang,0,synthetic
2025-10-01T18:15:00Z,29.93,80.31,5.52,1,1,0,bagus,0,synthetic
2025-11-27T10:07:02Z,32.68,70.17,0.23,2,0,0,buruk,0,real
2025-10-20T03:46:00Z,23.6,79.44,7.73,0,1,0,sedang,0,synthetic
2025-10-16T04:46:00Z,23.5,81.44,3.26,0,1,0,sedang,0,synthetic
2025-10-01T05:07:00Z,26.31,87.21,7.72,1,1,0,bagus,0,synthetic
2025-10-04T15:46:00Z,26.65,81.5,3.1,1,1,0,bagus,0,synthetic
2025-10-02T15:40:00Z,28.82,84.9,7.2,1,1,0,bagus,0,synthetic
2025-11-29T11:29:04Z,33.09,69.99,0.18,2,0,0,buruk,0,real
2025-10-15T14:45:00Z,31.68,73.83,8.52,2,0,0,buruk,0,synthetic
2025-11-26T04:30:25Z,32.43,71.28,0.17,2,0,0,buruk,0,real
2025-11-24T15:39:39Z,32.09,71.67,0.17,2,0,0,buruk,0,real
2025-10-02T17:23:00Z,26.62,77.96,12.6,1,1,0,bagus,0,synthetic
